emoji	keywords
📞	communication, phone, receiver, telephone, voip, அழை, அழைப்பு, டெலிபோன், தகவல், தொடர்பு, தொடர்புகொள், தொலைபேசி, பொருள், ரிசீவர்
📟️	communication, pager, செய்தி, தகவல், தொடர்பு, பேஜர், பொருள்
📠	communication, fax, machine, ஃபேக்ஸ், இயந்திரம், தகவல், தொடர்பு, தொடர்புகொள், தொலைநகலி, தொலைநகல், பேக்ஸ்
📡	alien, aliens, antenna, contact, dish, satellite, science, ஆண்டெனா, ஆன்டனா, கோள், சாட்டிலைட், செயற்கை, செயற்கைக்கோள், டிவி, டிஷ், தொடர்பு
📢	addres, address, communication, loud, loudspeaker, public, sound, அறிவிப்பு, ஒலிப்பெருக்கி, செய்தி, தகவல், தொடர்பு, பொது, லவுட், ஸ்பீக்கர்
📣	cheering, megaphone, sound, உற்சாகம், கூவுதல், சியரிங், தொடர்பு, மெகாபோன்
📤️	box, email, letter, mail, outbox, sent, tray, அஞ்சல், அனுப்பப்பட்டது, அவுட்பாக்ஸ், கடிதம், தட்டு, பெட்டி, மின்னஞ்சல்
📥️	box, email, inbox, letter, mail, receive, tray, zero, அஞ்சல், இன்பாக்ஸ், தட்டு, பெட்டி, பெறுதல்
📦️	box, communication, delivery, package, parcel, shipping, டெலிவரி, பாக்ஸ், பார்சல், பெட்டி, பேக், பேக்கேஜ், பொருள், ஷிப்பிங்
📧	email, letter, mail, அஞ்சல், இமெயில், ஈமெயில், கடிதம், சின்னம், சிம்பல், தகவல், தொடர்பு, மின், மின்னஞ்சல்
📨	delivering, email, envelope, incoming, letter, mail, receive, sent, அஞ்சல், உறை, கடித, கடிதம், பெறப்பட்ட, பெற்ற, மின்னஞ்சல், மின்னணு, மெயில், வந்த
📩	arrow, communication, down, email, envelope, letter, mail, outgoing, send, sent, அஞ்சல், அனுப்பப்பட்டது, அனுப்பிய, அம்புக்குறியுடன், உறை, கடித, கடிதம், தகவல், தொடர்பு, போன, மின்னஞ்சல், மின்னணு, மெயில், வெளிச்செல்லும்
📪️	closed, flag, lowered, mail, mailbox, postbox, அஞ்சல், இல்லை, எதுவுமில்லாத, கடிதம், கொடி, சாய்ந்த, தபால், பெட்டி, மூடியது
📫️	closed, communication, flag, mail, mailbox, postbox, raised, அஞ்சல், இருப்பதைக், காட்டும், கொடிபறக்கும், தபால், பாக்ஸ், பெட்டி, மூடிய, மெயில்
📬️	flag, mail, mailbox, open, postbox, raised, அஞ்சலுடன், அஞ்சல், இருக்கும், கடிதம், கொடிபறக்கும், தபால், திறக்கப்பட்ட, திறந்த, நிலையில், பாக்ஸ், பெட்டி, பொருள், மெயில்
📭️	flag, lowered, mail, mailbox, open, postbox, அஞ்சல், இருக்கும், எதுவுமில்லாத, கொடிசாய்ந்த, தபால், திறந்த, நிலையில், பாக்ஸ், பெட்டி, பொருள், மெயில்
📮	mail, mailbox, postbox, அஞ்சல், கடிதம், தபால், பெட்டி, பொருள், போஸ்ட், போஸ்ட்பாக்ஸ், மெயில்
📯	horn, post, postal, பொருள், போஸ்டல், ஹார்ன்
📰	communication, new, news, newspaper, paper, செய்திகள், செய்தித்தாள், நாளேடு, நியூஸ், பேப்பர், பொருள்
📱	cell, communication, mobile, phone, telephone, ஃபோன், செல், செல்பேசி, செல்போன், தகவல், தொடர்பு, பொருள், மொபைல்
📲	arrow, build, call, cell, communication, mobile, phone, receive, telephone, ஃபோன், அம்புக்குறி, அம்புக்குறியுடன், அழை, அழைப்பு, செல்ஃபோன், செல்போன், தகவல், தொடர்பு, பெறுதல், பொருள், மொபைல்
📷️	camera, photo, selfie, snap, tbt, trip, video, இன்ஸ்டாகிராம், கேமரா, நினைவு, படம், புகைப்படம், பொருள், வீடியோ, ஸ்னாப்
📸	camera, flash, video, ஃபிளாஷ், ஃப்ளாஷ், அடிக்கும், கேமரா, பிளாஷ், வீடியோ
📹️	camcorder, camera, tbt, video, காம், கார்டர், கேமரா, கேம், டிபிடி, வீடியோ
📺️	television, tv, video, சீரியல், டிவி, டெலிவிஷன், திரைப்படம், தொலைக்காட்சி
📻️	entertainment, radio, tbt, video, எஃப், எப்எம், எம், கேரவன், செய்தி, பாடல், பாட்டு, ரேடியோ, வானொலி
📼	old, school, tape, vcr, vhs, video, videocassette, கேசட், கேஸட், டேப், நினைவுகள், பழைய, விஹெச்எஸ், வீடியோ
📿	bead, beads, clothing, necklace, prayer, religion, அணிகலன், உடை, ஜெபமாலை, ஜெபம், நெக்லஸ், பயன்படும், பாசிமணிகள், பிரார்த்தனை, பிரார்த்தனைக்கான, பொருள், மணிகள், மதம், மாலை, வழிபடுவதற்குப்
🔇	mute, muted, quiet, silent, sound, speaker, அணை, அமைதி, ஆஃப், ஒலியடக்கு, ஒலியை, சைலன்ஸ், நிசப்தம், பொருள், ஸ்பீக்கர்
🔈️	low, soft, sound, speaker, volume, இரைச்சல், ஒலி, ஒலிப்பெருக்கி, குறைந்த, சத்தம், சவுண்ட், பேசு, பொருள், ஸ்பீக்கர்
🔉	medium, sound, speaker, volume, ஆன், ஒலி, ஒலிப்பெருக்கி, குறைந்த, சவுண்ட், நடுத்தர, பேசு, பொருள், மெதுவாக, ஸ்பீக்கர்
🔊	high, loud, music, sound, speaker, volume, அலறும், இரைச்சல், சத்தமாகப், சவுண்ட், பேசு, பொருள், ஸ்பீக்கர், ஹைபிட்ச்
🔋	battery, எனர்ஜி, பேட்டரி, மின்கலம், மின்சக்தி
🔌	electric, electricity, plug, பாயின்ட், பின், பிளக், பிளக்கு, மின்சார, மின்சாரம்
🔍️	glas, glass, lab, left, magnifying, pointing, science, search, tilted, tool, அறிவியல், இடது, உருப்பெருக்கி, கருவி, சாய்வு, தேடல், தேடு, பெரிதாக்கம், லென்ஸ்
🔎	contact, glas, glass, lab, magnifying, pointing, right, science, search, tilted, tool, அறிவியல், ஆய்வு, உருப்பெருக்கி, கருவி, சாய்வு, தேடல், தேடு, லென்ஸ், வலது
🔏	ink, lock, locked, nib, pen, privacy, அந்தரங்கம், உரிமை, எனதுரிமை, தனியுரிமை, பூட்டு, பேனா, பேனாவுடன்
🔐	bike, closed, key, lock, locked, secure, கீ, சாவி, சாவியும், பாதுகாக்கப்பட்டது, பாதுகாப்பானது, பாதுகாப்பு, பூட்டு, பூட்டும், பொருள், மூடப்பட்டது, லாக்
🔑	key, keys, lock, major, password, unlock, கடவுச்சொல், சாவி, திற, திறவுகோல், பாஸ்வேர்ட், பூட்டு, பூட்டுத், பொருள்
🔒️	closed, lock, locked, private, அந்தரங்கம், தனிப்பட்டது, பூட்டியது, பூட்டு, பூட்டுதல், லாக்
🔓️	cracked, lock, open, unlock, unlocked, திறக்கப்பட்டது, திறந்த, திறந்தது, பூட்டாதது, பூட்டு, பொருள்
🔔	bell, break, church, sound, இடைவேளை, ஒலி, ஓசை, கோயில், கோவில், சர்ச், தேவாலயம், பெல், மணி, மணியொலி, மணியோசை
🔕	bell, forbidden, mute, no, not, prohibited, quiet, silent, slash, sound, அடக்கு, அமைதி, ஒலி, சத்தமிடாதே, சத்தம், தடை, நிசப்தம், போடக்கூடாது, மணி
🔖	bookmark, mark, அடையாளம், டேக், பக்க, பட்டி, புக்மார்க், புத்தகக்குறி, புத்தகம், பொருள்
🔗	link, links, இணை, இணைப்பு, இரு, கட்டு, சேர், பொருள், லிங்க், வளையங்கள், வளையம்
🔥	af, burn, fire, flame, hot, lit, litaf, tool, எரிதல், தீ, நெருப்பு
🔦	electric, flashlight, light, tool, torch, இரவு, டார்ச், பிளாஷ், பேட்டரி, பொருள், லைட், விளக்கு, வெளிச்சம்
🔧	home, improvement, spanner, tool, wrench, இடுக்கி, கருவி, குறடு, டூல், திருகி, திருகு, பொருள், ஸ்பேனர்
🔨	hammer, home, improvement, repair, repairs, tool, ஆணி, கருவி, சரிசெய்தல், சுத்தி, சுத்தியல், பழுது, பொருள், மேம்பாடு, ரிப்பேர், வீட்டு
🔩	bolt, home, improvement, nut, tool, கருவி, நட்டு, நட்டும், போல்ட், போல்ட்டும், மற்றும்
🔪	chef, cooking, hocho, kitchen, knife, tool, weapon, ஆயுதம், உணவு, கத்தி, காய்கறி, சமையல், செஃப், வெட்டு, வெட்டுதல்
🔫	gun, handgun, pistol, revolver, tool, water, weapon, ஆயுதம், கைத்துப்பாக்கி, சுடு, சுடுதல், தண்ணீர், துப்பாக்கி, பிஸ்டல், பொருள், ரிவால்வர்
🔬	experiment, lab, microscope, science, tool, அறிவியல், ஆராய்ச்சி, கருவி, நுண்ணோக்கி, பரிசோதனை, பெரிதாக்கம், பெருக்கி, பொருள், மைக்ரோஸ்கோப்
🔭	contact, extraterrestrial, science, telescope, tool, ஆராய்ச்சி, கருவி, கோள், டெலஸ்கோப், தொலைநோக்கி, நட்சத்திரம், பொருள், வானம், வானியல், விண்கல்
🔮	ball, crystal, fairy, fairytale, fantasy, fortune, future, magic, tale, tool, கண்ணாடி, கிரிஸ்டல், கிறிஸ்டல், பந்து, பால், மாயாஜாலம்
🕋	hajj, islam, kaaba, muslim, religion, umrah, இஸ்லாமியம், இஸ்லாம், உம்ரா, காபா, மதம், ஹஜ்
🕌	islam, masjid, mosque, muslim, religion, இஸ்லாமியம், இஸ்லாம், மசூதி, மதம்
🕍	jew, jewish, judaism, religion, synagogue, temple, ஆலயம், ஜெப, மதம், யூத, யூதர்கள்
🕐️	00, clock, one, time, உச்சி, ஒரு, நேரம், மணி
🕑️	00, clock, time, two, இரண்டு, மணி
🕒️	00, clock, three, time, மணி, மூன்று
🕓️	00, clock, four, time, நான்கு, நாலு, மணி
🕔️	00, clock, five, time, ஐந்து, மணி
🕕️	00, clock, six, time, ஆறு, மணி
🕖️	00, clock, seven, ஏழு, மணி
🕗️	00, clock, eight, time, எட்டு, மணி
🕘️	00, clock, nine, time, ஒன்பது, மணி
🕙️	00, 10, clock, ten, பத்து, மணி
🕚️	00, 11, clock, eleven, time, பதினொன்று, பதினோரு, மணி
🕛️	00, 12, clock, time, twelve, பன்னிரண்டு, மணி
🕜️	30, clock, one, thirty, time, ஒன்றரை, ஒன்று, மணி, முப்பது
🕝️	30, clock, thirty, time, two, இரண்டரை, இரண்டு, நிமிடம், மணி, முப்பது
🕞️	30, clock, thirty, three, time, நிமிடம், மணி, முப்பது, மூன்றரை, மூன்று
🕟️	30, clock, four, thirty, time, நான்கரை, நான்கு, மணி, முப்பது
🕠️	30, clock, five, thirty, time, ஐந்தரை, ஐந்து, மணி, முப்பது
🕡️	30, clock, six, thirty, ஆறரை, ஆறு, மணி, முப்பது
🕢️	30, clock, seven, thirty, ஏழரை, ஏழு, மணி, முப்பது
🕣️	30, clock, eight, thirty, time, எட்டரை, எட்டு, மணி, முப்பது
🕤️	30, clock, nine, thirty, time, ஒன்பதரை, ஒன்பது, மணி, முப்பது
🕥️	10, 30, clock, ten, thirty, time, பத்தரை, பத்து, மணி, முப்பது
🕦️	11, 30, clock, eleven, thirty, time, பதினொன்றரை, பதினொன்று, மணி, முப்பது
🕧️	12, 30, clock, thirty, time, twelve, பன்னிரண்டரை, பன்னிரெண்டரை, பன்னிரெண்டு, மணி, முப்பது
🕵️‍♀️	detective, sleuth, spy, woman, கண்டறி, கண்டுபிடி, கிரைம், குற்றம், துப்பறியும், துப்பறிவாளர், நபர், நிபுணர், பெண், விசாரணை
🕵️‍♂️	detective, man, sleuth, spy, ஆண், துப்பறியும், துப்பறிவாளர், நிபுணர்
🕺	dance, dancer, dancing, elegant, festive, flair, flamenco, groove, let, man, salsa, tango, ஃப்ளாமென்கோ, ஆடலாம், ஆடுபவர், ஆண், கொண்டாட்டம், க்ரூவ், சல்சா, டேங்கோ, நடனம், நளினம்
🗻	fuji, mount, mountain, nature, உச்சி, எவரெஸ்ட், சிகரம், பனிமலை, மலை, மலைச்சிகரம், முகடு
🗼	tokyo, tower, கோபுரம், டவர், டோக்கியோ
🗽	liberty, new, ny, nyc, of, statue, york, சிலை, சுதந்திர, சுதந்திரதேவி, தேவி, நியூயார்க், லிபர்டி, லிபர்ட்டி
🗾	japan, map, of, ஜப்பான், மேப், வரைபடம்
🗿	moai, moyai, statue, stoneface, travel, கல், சிற்பி, சிலை, பயணம், மனித, முகம், மோயை
🤰	pregnant, woman, உள்ள, கருத்தரித்துள்ள, கருத்தரிப்பு, கர்ப்பமாக, கர்ப்பிணி, நபர், நிறைமாதம், பெண்
🤱	baby, breast, feeding, mom, mother, nursing, woman, அம்மா, குழந்தை, கைக்குழந்தை, சிசு, தாய், தாய்ப்பால், நபர், பராமரிப்பு, பாலூட்டும், பால், பெண்
🤴	crown, fairy, fairytale, fantasy, king, prince, royal, royalty, tale, அரச, இளவரசன், இளவரசி, குலம், நபர், ராஜ்ஜியம், வம்சம்
🤵	formal, in, person, tuxedo, wedding, அணிந்தவர், கோட், கோட்டு, சூட், சூட்டு, நபர், மணமகன், மாப்பிள்ளை
🤵‍♀️	formal, in, tuxedo, wedding, woman, அணிந்த, கோட்டு, சூட்டு, பெண்
🤵‍♂️	formal, groom, in, man, tuxedo, wedding, அணிந்த, ஆண், கோட்டு, சூட்டு
🤸	active, cartwheel, cartwheeling, excited, flip, gymnastic, gymnastics, happy, person, somersault, அந்தர்பல்டி, சமர்ஸால்ட், ஜிம்னாஸ்டிக்ஸ், நபர், பல்டி, மகிழ்ச்சி, விளையாட்டு
🤸‍♀️	active, cartwheel, cartwheeling, excited, flip, gymnastic, gymnastics, happy, somersault, woman, உடற்பயிற்சி, ஏரோபிக், சாகசம், செய்யும், ஜிம்னாஸ்டிக்ஸ், நபர், பல்டி, பெண், விளையாட்டு
🤸‍♂️	active, cartwheel, cartwheeling, excited, flip, gymnastic, gymnastics, happy, man, somersault, ஆண், உடற்பயிற்சி, ஏரோபிக், சாகசம், செய்யும், ஜிம்னாஸ்டிக்ஸ், நபர், பல்டி, விளையாட்டு
🤹	act, balance, balancing, handle, juggle, juggling, manage, multitask, person, skill, ஆண், ஜக்ளிங், திறன், நபர், பந்து
🤹‍♀️	act, balance, balancing, handle, juggle, juggling, manage, multitask, skill, woman, அஷ்டாவதானி, செய்யும், ஜக்ளிங், திறன், நபர், பணிகள், பந்தாடுதல், பந்தாட்டம், பல, பெண்
🤹‍♂️	act, balance, balancing, handle, juggle, juggling, man, manage, multitask, skill, அஷ்டாவதானி, ஆண், செய்யும், ஜக்ளிங், திறன், பணிகள், பந்தாடுதல், பந்தாட்டம், பல, வித்தை, வித்தைகாட்டி
🤺	fencer, fencing, person, sword, கூர்வாள், சண்டை, நபர், வாள், விளையாட்டு
🤼	combat, duel, grapple, people, ring, tournament, wrestle, wrestling, களம், குஸ்தி, நபர்கள், போட்டி, மல்யுத்தப், மல்யுத்தம், விளையாட்டு
🤼‍♀️	combat, duel, grapple, ring, tournament, women, wrestle, wrestling, குஸ்தி, செய்யும், நபர், பெண், பெண்கள், போட்டி, மல்யுத்தம், ரெஸ்லிங், விளையாட்டு
🤼‍♂️	combat, duel, grapple, men, ring, tournament, wrestle, wrestling, ஆண்கள், குஸ்தி, சண்டை, செய்யும், தடகளம், நபர், போட்டி, மல்யுத்தம், விளையாட்டு
🤽	person, playing, polo, sport, swimming, water, waterpolo, தண்ணீர், நபர், நீச்சல், நீர், போலோ, வாட்டர், விளையாட்டு
🤽‍♀️	playing, polo, sport, swimming, water, waterpolo, woman, தடகளம், நபர், நீர், நீர்ப், பந்தாட்டம், பந்து, பெண், போலோ, வாட்டர், விளையாடும், விளையாட்டு
🤽‍♂️	man, playing, polo, sport, swimming, water, waterpolo, ஆண், நபர், நீர், நீர்ப், பந்தாட்டம், பந்து, போலோ, வாட்டர், விளையாடும், விளையாட்டு
🤾	athletic, athletics, ball, catch, chuck, handball, hurl, lob, person, pitch, playing, sport, throw, tos, toss, ஆண், எறிதல், எறியும், கைப்பந்து, கையெறி, தடகளம், நபர், பந்து, பிடித்தல், விளையாட்டு
🤾‍♀️	athletic, athletics, ball, catch, chuck, handball, hurl, lob, pitch, playing, sport, throw, tos, toss, woman, எறிதல், கைப்பந்து, நபர், பந்து, பால், பெண், வாலி, விளையாடும், விளையாட்டு, ஹேண்ட்
🤾‍♂️	athletic, athletics, ball, catch, chuck, handball, hurl, lob, man, pitch, playing, sport, throw, tos, toss, ஆண், கைப்பந்து, நபர், பந்து, பால், விளையாடும், விளையாட்டு, ஹேன்ட்
🤿	diving, mask, scuba, snorkeling, டைவிங், மாஸ்க், ஸ்கூபா, ஸ்நோர்கெலிங், ஸ்னோர்கெலிங்
🥀	dying, flower, wilted, பூ, வாடிய, வாடியது
🥁	drum, drumstick, drumsticks, music, அடி, இசை, டமாரம், டிரம், டிரம்மர், பொருள், மத்தளம், மேளம்
🥂	celebrate, clink, clinking, drink, glas, glass, glasse, glasses, உற்சாக, உற்சாகம், கொண்டாட்டம், கோப்பை, சியர்ஸ், பானம்
🥃	glas, glass, liquor, scotch, shot, tumbler, whiskey, whisky, கிளாஸ், கோப்பை, பானம், மது, விஸ்கி, ஸ்காட்ச்
🥄	eat, spoon, tableware, உணவு, கரண்டி, சிறு, ஸ்பூன்
🥅	goal, net, கம்பம், கால்பந்து, கோல், போஸ்ட், விளையாட்டு
🥇	1st, first, gold, medal, place, பதக்கம், பரிசு, முதல், மெடல், வெற்றியாளர்
🥈	2nd, medal, place, second, silver, இரண்டாவது, பதக்கம், பரிசு
🥉	3rd, bronze, medal, place, third, பதக்கம், பரிசு, மூன்றாவது
🥊	boxing, glove, குத்து, குத்துச்சண்டை, கையுறை, க்ளோவ், தற்காப்பு, பன்ச்
🥋	art, arts, judo, karate, martial, taekwondo, uniform, உடை, கராத்தே, ஜூடோ
🥌	curling, game, rock, stone, கர்லிங், கல், பாறை, விளையாட்டு, ஸ்டோன்
🥍	ball, goal, lacrosse, sport, sports, stick, கோல், பந்து, லக்ரோஸ், ஸ்டிக்
🥎	ball, glove, softball, sport, sports, underarm, கையுறை, சாஃப்ட், சாப்ட்பந்து, டென்னிஸ், பந்து, பால், மென்பந்து, விளையாட்டு, ஸாஃப்ட்
🥏	disc, flying, ultimate, ஃபிரிஸ்பி, ஃப்ரிஸ்பி, சாகசம், பறக்கும், பொழுதுபோக்கு, வட்டு, விளையாட்டு
🥐	bread, breakfast, crescent, croissant, food, french, roll, உணவு, கிராய்சன்ட், கிரெசன்ட், பண்டம், பிரெஞ்சு, பிரெட், மாவுப், மாவுப்பண்டம், ரோல்
🥑	avocado, food, fruit, அவகேடோ, உணவு, பழம், வெண்ணைப், வெண்ணைப்பழம்
🥒	cucumber, food, pickle, vegetable, உணவு, காய்கறி, சாலட், பச்சை, வெள்ளரி
🥓	bacon, breakfast, food, meat, அசைவம், இறைச்சி, உணவு, பன்றி
🥔	food, potato, vegetable, உணவு, உருளை, உருளைக்கிழங்கு, காய், காய்கறி
🥕	carrot, food, vegetable, உணவு, காய், காய்கறி, கேரட், வைட்டமின்
🥖	baguette, bread, food, french, ஃபிரெஞ்சு, உணவு, நீள, ரொட்டி
🥗	food, green, salad, ஆரோக்கியம், உணவு, கலவை, காய்கறி, சாலட்
🥘	casserole, food, of, paella, pan, shallow, உணவு, கடாய், கிரேவி, குழம்பு, கூட்டு, சாம்பார், வாணலி
🥙	falafel, flatbread, food, gyro, kebab, stuffed, ஃபலாஃபல், உணவு, கபாப், கைரோ, டாகோ, ரொட்டி, வகை
🥚	breakfast, egg, food, உணவு, முட்டை
🥛	drink, glas, glass, milk, of, கிளாஸ், கோப்பை, பானம், பால்
🥜	food, nut, peanut, peanuts, vegetable, உணவு, கடலை, காய்கறி, வேர்க்கடலை
🥝	food, fruit, kiwi, உணவு, கிவி, கிவிப்பழம், பழம்
🥞	breakfast, crêpe, food, hotcake, pancake, pancakes, இனிப்பு, உணவு, கிரீப், தோசை, பேன்கேக்
🥟	dumpling, empanada, gyōza, jiaozi, pierogi, potsticker, உணவு, கொழுக்கட்டை, க்யோஸா, சுகியன், சுய்யம், ஜியாஸி, ஜியோஸி, டம்ப்ளிங், பாட்ஸ்டிக்கர்
🥠	cookie, fortune, prophecy, ஃபார்ச்சூன், அதிர்ஷ்ட, உணவு, குக்கீ, ஜோசியம்
🥡	box, chopstick, chopsticks, delivery, food, oyster, pail, takeout, உணவு, கேரியர், சாப்பாடுப், டிபன், டெலிவரி, பெட்டி
🥢	chopstick, chopsticks, hashi, jeotgarak, kuaizi, உணவு, சாப்ஸ்டிக், சீன, ஜப்பானிய, நூடுல்ஸ், ஹஷி
🥣	bowl, breakfast, cereal, congee, oatmeal, porridge, spoon, உணவு, உள்ள, ஓட்ஸ், கஞ்சி, கார்ன்ஃபிளேக்ஸ், காலை, கிண்ணம், சூப், பாத்திரம், பிரேக்ஃபாஸ்ட், ப்ரேக்ஃபாஸ்ட், ஸ்பூன்
🥤	cup, drink, juice, malt, soda, soft, straw, water, உள்ள, கப், கோப்பை, சோடா, ஜூஸ், பழச்சாறு, பானம், ஸ்ட்ரா
🥥	coconut, colada, palm, piña, உணவு, கொலடா, தென்னை, தேங்காய், பனை, பினா, மரம்
🥦	broccoli, cabbage, wild, உணவு, காய், கோஸ், பிரக்கோலி, ப்ரொக்கோலி, முட்டைகோஸ்
🥧	apple, filling, fruit, meat, pastry, pie, pumpkin, slice, ஃபில்லிங், ஆப்பிள், இனிப்பு, உணவு, கேக், பம்ப்கின், பை
🥨	convoluted, pretzel, twisted, உணவு, நொறுக்குத்தீனி, பிரெட்ஸல், ப்ரெஸெல், முறுக்கு, ஸ்நேக்ஸ்
🥩	chop, cut, lambchop, meat, of, porkchop, red, steak, ஆட்டிறைச்சி, இறைச்சி, இறைச்சித், உணவு, சிவப்பு, துண்டு, பன்றி, பன்றியிறைச்சி
🥪	bread, sandwich, உணவு, காலையுணவு, சாண்ட்விச், பிரெட்
🥫	can, canned, food, அடைக்கப்பட்ட, உணவு, கேனில், கேன், பதப்படுத்திய
🥬	bok, burger, burgers, cabbage, choy, green, kale, leafy, lettuce, salad, உணவு, காய்கறி, கேபேஜ், கோஸ், சோய், பச்சை, போக், முட்டைகோஸ், லெட்யூஸ்
🥭	food, fruit, mango, tropical, உணவு, ட்ராபிகல், பழம், மாம்பழம், மேங்கோ
🥮	autumn, cake, festival, moon, yuèbǐng, இலையுதிர்காலம், கேக், திருவிழா, மூன்
🥯	bagel, bakery, bread, breakfast, schmear, உணவு, காலையுணவு, பன், பிரெட், பேகல், பேக்கரி, ஸ்பிரெட், ஸ்மியர்
🥷	assassin, fight, fighter, hidden, ninja, person, secret, skill, skills, sly, soldier, stealth, war, நிஞ்சா, போராளி, மறைமுகமானவன், வீரர்
🥻	clothing, dres, dress, sari, ஆடை, உடை, சீலை, சேலை, பாரம்பரியம், புடவை
🥼	clothe, clothes, coat, doctor, dr, experiment, jacket, lab, scientist, white, ஆய்வக, உடை, கோட், டாக்டர், பரிசோதனை, பொருள், மருத்துவர், விஞ்ஞானி
🥽	dive, eye, goggle, goggles, protection, scuba, swimming, welding, கண், கண்ணாடிகள், காகிள்ஸ், நீச்சல், பாதுகாப்பு, பொருள், வெல்டிங், ஸ்கூபா
🥾	backpacking, boot, brown, camping, hiking, outdoor, outdoors, shoe, கேம்பிங், கேம்ப்பிங், பூட், பேக்பேக்கிங், பொருள், மலையேற்ற, ஹைக்கிங்
🥿	ballet, comfy, flat, flats, on, shoe, slip, slipper, ஃபிளாட், ஃபிளாட்ஸ், ஆன், தட்டையான, பாலே, பொருள், ஷூ, ஸ்லிப், ஸ்லிப்பர்
🦀	cancer, crab, zodiac, உணவு, கடக, கடகம், கடகராசி, நண்டு, ராசி
🦁	alpha, animal, leo, lion, mane, order, rawr, roar, safari, strong, zodiac, சஃபாரி, சபாரி, சிங்க, சிங்கம், சிம்மம், பொம்மை, முகம், ராசி, லியோ
🦂	scorpio, scorpion, scorpiu, scorpius, zodiac, கடி, தேள், ராசி, விருச்சிக, விருச்சிகம், விஷம், ஸ்கார்பியன், ஸ்கார்பியோ
🦃	bird, gobble, thanksgiving, turkey, பறவை, வான்கோழி
🦄	unicorn, ஒற்றைக், கடல்குதிரை, குதிரை, கொம்பு, முகம்
🦅	animal, bird, eagle, ornithology, கழுகு, பறவை
🦆	animal, bird, duck, ornithology, குவா, பறவை, வாத்து, விலங்கு
🦇	animal, bat, vampire, இரத்தக், இரவு, காட்டேரி, விலங்கு, வேம்பயர், வௌவால்
🦈	animal, fish, shark, கடல், சுறா, திமிங்கலம், மீன், விலங்கு, ஷார்க்
🦉	animal, bird, ornithology, owl, wise, ஆந்தை, இரவு, பறவை
🦊	animal, fox, குள்ளநரி, நரி, முகம், விலங்கு
🦋	butterfly, insect, pretty, பட்டர்பிளை, பட்டாம்பூச்சி, பூச்சி, வண்ணத்துப்பூச்சி, வண்ணம்
🦌	animal, deer, மான், விலங்கு
🦍	animal, gorilla, குரங்கு, கொரில்லா, விலங்கு
🦎	animal, lizard, reptile, இருவாழ்வி, பல்லி
🦏	animal, rhinocero, rhinoceros, காண்டாமிருகம், ரினோ, ரைனோசரஸ், விலங்கு
🦐	food, shellfish, shrimp, small, உணவு, கூனிறால், மீன், ஷெல்ஃபிஷ்
🦑	animal, food, mollusk, squid, உணவு, கடல், கணவாய், விலங்கு, ஸ்க்விட்
🦒	animal, giraffe, spot, spots, ஒட்டகச்சிவிங்கி, சிவிங்கி, ஜிராஃப், புள்ளிகள், விலங்கு
🦓	animal, stripe, zebra, குதிரை, கோடு, ஜீப்ரா, வரிக்குதிரை, விலங்கு
🦔	animal, hedgehog, spiny, எலி, செல்லப்பிராணி, முள்ளெலி
🦕	brachiosauru, brachiosaurus, brontosauru, brontosaurus, dinosaur, diplodocu, diplodocus, sauropod, சரோபாட், டைனோசர், டைப்ளோடோகஸ், பிராங்கியோசரஸ்
🦖	dinosaur, rex, tyrannosauru, tyrannosaurus, ஜூராசிக்பார்க், டி, டினோசர், டைனோ, டைனோசர், டைரானோசரஸ், ரெக்ஸ்
🦗	animal, bug, cricket, grasshopper, insect, orthoptera, இராக்கோழி, கிராஸ்ஹோப்பர், கிரிக்கெட், பூச்சி, வெட்டுக்கிளி
🦘	animal, joey, jump, kangaroo, marsupial, ஆஸ்திரேலியா, கங்காரு, குட்டி, குதிக்கும், பையுள்ள
🦙	alpaca, animal, guanaco, llama, vicuña, wool, அல்பாகா, கம்பளி, குவானக்கோ, லாமா, விலங்கு, வுனுனா
🦚	animal, bird, colorful, ornithology, ostentatiou, ostentatious, peacock, peahen, pretty, proud, தேசிய, பறவை, பெண், பெருமை, மயில், வியக்கத்தக்க
🦛	animal, hippo, hippopotamu, hippopotamus, நீர்யானை, விலங்கு, ஹிப்போ, ஹிப்போபோடமஸ், ஹிப்போபோட்டமஸ்
🦜	animal, bird, ornithology, parrot, pirate, talk, கிளி, கொள்ளை, ஜோசியம், பஞ்சவர்ணம், பறவை, பேச்சு
🦝	animal, curiou, curious, raccoon, sly, ஆர்வம், தந்திரம், ரக்கூன், விலங்கு
🦞	animal, bisque, claw, claws, lobster, seafood, இறால், உணவு, கடல், சிங்க, நகங்கள், நண்டு, பிஸ்கே, லோப்ஸ்டர்
🦟	bite, disease, fever, insect, malaria, mosquito, pest, viru, virus, காய்ச்சல், கொசு, டெங்கு, நோய், பூச்சி, மலேரியா, வைரஸ்
🦠	amoeba, bacteria, microbe, science, viru, virus, அமீபா, அறிவியல், நுண்ணுயிரி, பாக்டீரியா, வைரஸ்
🦡	animal, badger, honey, pester, பேட்ஜர், வளைக்கரடி, ஹனி
🦢	animal, bird, cygnet, duckling, ornithology, swan, ugly, அன்னக், அன்னப்பறவை, அன்னப்பறவைக், அன்னம், குஞ்சு, பறவை
🦣	animal, extinction, large, mammoth, tusk, wooly, அழிதல், தந்தம், பெரிய, பெரியது, மமூத், யானை
